初中校,班数,毕业生数
北京市第一中学,3,120
北京市第二中学分校,21,840
北京市第五中学分校,15,600
北京市第十一中学,12,480
北京市第二十一中学,1,40
北京市第二十二中学,9,360
北京市第二十四中学,6,240
北京市第二十五中学,6,240
北京市第二十七中学,4,160
北京市第五十中学,8,320
北京市第五十中学分校,3,120
北京市第五十四中学,9,360
北京市第五十五中学,6,240
北京市第六十五中学,6,240
北京市第九十六中学,4,160
北京市第一零九中学,4,160
北京汇文实验中学,3,120
北京市第一四二中学,5,200
北京市第一六五中学,2,80
北京市第一六六中学,11,440
北京市第一七一中学,18,720
中央工艺美术学院附属中学,4,160
北京市东直门中学,13,520
北京市和平北路学校,2,80
北京市前门外国语学校,6,240
北京市文汇中学,20,800
北京汇文中学,19,760
北京市广渠门中学,13,520
北京市龙潭中学,5,200
北京市东城区特殊教育学校,1,40
北京景山学校,9,360
汇文实验朝阳学校,6,240
