name,gradCount,zone
北京市第一中学,120,1
北京市第二中学分校,840,5
北京市第五中学分校,600,2
北京市第十一中学,480,6
北京市第二十一中学,40,1
北京市第二十二中学,360,2
北京市第二十四中学,240,5
北京市第二十五中学,240,3
北京市第二十七中学,160,3
北京市第五十中学,320,7
北京市第五十中学分校,120,7
北京市第五十四中学,360,1
北京市第五十五中学,240,5
北京市第六十五中学,240,3
北京市第九十六中学,160,6
北京市第一零九中学,160,8
北京汇文实验中学,120,8
北京市第一四二中学,200,1
北京市第一六五中学,80,2
北京市第一六六中学,440,3
北京市第一七一中学,720,1
中央工艺美术学院附属中学,160,8
北京市东直门中学,520,4
北京市和平北路学校,80,4
北京市前门外国语学校,240,8
北京市文汇中学,800,3
北京汇文中学,760,8
北京市广渠门中学,520,6
北京市龙潭中学,200,7
北京景山学校,360,3
汇文实验朝阳学校,240,8
北京市东城区特殊教育学校,40,8
