初中代码,初中名称,合计,北京市第二中学,北京市第五中学,北京市第十一中学,北京市第五十中学,北京市第五十五中学,北京市第一零九中学,北京市第一六六中学,北京市第一七一中学,北京市广渠门中学,北京汇文中学,北京市东直门中学,北京景山学校,北京市第二十二中学,北京市龙潭中学,
101,北京市第一中学/北京市第五中学分校,30,2,3,1,1,4,1,4,2,2,2,1,2,4,1,30
102,北京市第二中学分校,61,3,2,7,6,9,8,7,2,2,3,2,3,5,2,61
104,北京市第十一中学,20,1,1,3,2,1,2,1,1,2,2,1,1,1,1,20
106,北京市第二十一中学/北京市第二十二中学,22,1,2,1,1,3,1,1,1,2,2,1,1,4,1,22
107,北京市第二十二中学,0,,,,,,,,,,,,,,,0
108,北京市第二十四中学,101,3,2,12,13,13,13,14,3,3,3,7,1,13,1,101
109,北京市第二十五中学,94,6,2,10,11,12,9,10,7,3,2,5,2,14,1,94
110,北京市第二十七中学,40,3,2,4,3,5,4,3,3,1,2,4,0,5,1,40
111,北京市第五十中学,49,2,1,5,15,2,6,4,2,2,2,1,2,4,1,49
112,北京市第五十中学分校,24,0,1,4,4,2,4,2,1,0,3,0,0,2,1,24
113,北京市第五十四中学,139,9,6,11,16,20,16,16,9,3,2,9,1,20,1,139
114,北京市第五十五中学,37,1,2,1,4,13,1,1,1,1,1,2,3,5,1,37
115,北京市第六十五中学,84,4,2,10,9,11,12,10,4,2,2,4,1,12,1,84
116,北京市第九十六中学,72,2,2,12,12,7,12,7,2,3,2,4,0,6,1,72
117,北京市第一零九中学,10,1,1,1,1,0,1,0,1,1,1,1,0,0,1,10
120,北京汇文实验中学（北京市第二一五中学）/北京汇文中学,50,2,1,8,6,4,6,5,1,2,5,1,2,5,2,50
121,北京市第一四二中学,54,2,2,3,5,10,3,8,2,1,2,5,0,10,1,54
122,北京市第一六五中学/北京市东直门中学,27,2,2,2,2,4,2,2,1,1,1,2,2,3,1,27
123,北京市第一六六中学,27,1,2,1,2,3,2,5,1,2,2,1,2,2,1,27
124,北京市第一七一中学,52,3,2,5,6,6,6,4,4,1,2,3,3,6,1,52
126,中央工艺美术学院附属中学,9,1,1,0,0,1,0,1,1,0,1,0,1,1,1,9
127,北京市广渠门中学/北京市龙潭中学,47,1,1,8,6,5,7,3,1,3,3,1,2,5,1,47
128,北京市文汇中学,87,8,2,11,11,7,11,6,4,3,3,6,6,7,2,87
129,北京汇文中学,0,,,,,,,,,,,,,,,0
130,北京市东直门中学,0,,,,,,,,,,,,,,,0
132,北京市龙潭中学,0,,,,,,,,,,,,,,,0
134,北京市和平北路学校,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3
135,北京市前门外国语学校,64,3,1,10,11,5,11,5,3,2,3,2,0,5,3,64
137,北京景山学校,16,1,1,1,1,1,1,1,1,1,1,1,3,1,1,16
144,北京汇文中学朝阳学校,21,1,1,2,2,1,2,2,1,2,3,1,1,1,1,21
